                          text_logprob                                                                                                                                                                                                                                                                                                                                                                                                                                                          context
data/videos/Video18.mp4      -0.190609                                                                                                                                                                                                                                                                                                                                                                                                                                               Angela e Vincenzo!
data/videos/Video19.mp4      -0.005925                                                                                                                                                                                                                                                                                                                                                                                                                                                    silence/noise
data/videos/Video20.mp4      -0.006225                                                                                                                                                                                                                                                                                                                                                                                                                                                    silence/noise
data/videos/Video21.mp4      -0.303826                                                                                                                                                                                                                                                                                                                                                                                                                                                    silence/noise
data/videos/Video22.mp4      -0.031071                                                                                                                                                                                                                                                                                                                                                                                                                                                    silence/noise
data/videos/Video23.mp4      -0.095578                                                                                                                                                                                                                                                                                                                                                                                                                                                 unknown dialogue
data/videos/Video24.mp4      -0.324129                                                                                                                                                                                                                                                                                                                                                                                                                                                    silence/noise
data/videos/Video25.mp4      -0.004800                                                                                                                                                                                                                                                                                                                                                                                                                                                    silence/noise
data/videos/Video26.mp4      -0.156881                                                                                                                                                                                                                                                                                                                            Ho capito tutto. E poi le mettiamo al caldo. Vai, Vane, fai il castello. Pronti? Hai messo sabbia mista, bagnata e asciutta? Mizzica!
data/videos/Video27.mp4      -0.635552                                                                                                                                                                                                                                                                                                                                                                                                                                                 unknown dialogue
data/videos/Video28.mp4      -0.005735                                                                                                                                                                                                                                                                                                                                                                                                                                                    silence/noise
data/videos/Video29.mp4      -0.192854                                  La candidata Sara, iscritta al corso di laurea in lingue e culture per il turismo e il commercio internazionale, ha presentato un elaborato finale dal titolo "Lo sviluppo della ricettività alberghiera sulla sponda del Gata Bresciano dalla fine dell'Ottocento ai giorni nostri". Lo ha discusso nella presenza della commissione composta dai professori Mario Rizzo Ferraro e Francesco Ricciardi. L'elaborato è stato...
data/videos/Video30.mp4      -0.111018                                                                                                                                                                                                                                                                                                                                                                                                                                                    silence/noise
data/videos/Video31.mp4      -0.880297                                                                                                                                                                                                                                                                                                                                                                                                                                              Chiamalo, chiamalo.
data/videos/Video32.mp4      -0.079223                                                                                                                                                                                                                                           Adesso mangiamo? Cosa fai, parecchi? Eh, ma dovresti anche sciacquare poi, eh? Ah, ecco. Vediamo un po' questa bambina, che brava. Ma sei bravissima! Allora mi aiuti tu, eh? Sempre, ok? Grazie. Guardate come si fa!
data/videos/Video33.mp4      -0.057032                                                                                       Questa secondo me Stefano è la parte della frenata perché sono caduti davanti. Però, ok, io tocchi i freni. Poi è vero che al giorno d'oggi non è più come una volta, poi adesso magari potranno iniziare le polemiche, chiaramente ora con i freni a disco che frenano, pinzano con molta più forza nel momento in cui il corridore si spaventa, frena col freno a disco.
data/videos/Video34.mp4      -0.125858                                                                                                                                                                                                                                                                                                                                                                                                                                                    silence/noise
data/videos/Video35.mp4      -0.191388                                                                                                                                                                                                                                                                                                                                                                                                                                                    silence/noise
data/videos/Video36.mp4      -0.400733                                                                                                                                                                                                                                                                                                                                                                                                                                                     Auguri a te!
data/videos/Video37.mp4      -0.131040                                                                                                                                                                                                  Vanessa che volo hai fatto! Ragazze, se non entriamo qua ci distruggiamo, lei si è tagliata una mano. Dai, poi andiamo. Bro, dov'è il mio libro? Libro? Libro. È quella di qui. No, lo sapevo! Ma scusa, ma Anastasia! La gamba! No, no, no, no, no. Anastasia!
data/videos/Video38.mp4      -0.027198                                                                                                                                                                                                                                                                                                                                                                                                                                                    silence/noise
data/videos/Video39.mp4      -0.041922                                                                                                                                                                                                                                                                                                                                                                                                                                                            music
data/videos/Video40.mp4      -0.137910                                                                                                                                                                                                                                                                                                                                                                                                                           Questo è l'aperitivo. Gente che balla.
data/videos/Video41.mp4      -0.028562                                                                                                                                                                                                                                                                                                                                                                                                                                                            music
data/videos/Video42.mp4      -0.022850                                                                                                                                                                                                                                                                                                                                                                                                                                                    silence/noise
data/videos/Video43.mp4      -0.108127                                                                                                                                                                                                                                         ...dall'Istituto Nazionale Previdenza Sociale, l'Istituto Neutralizzazione Parassiti Sociali, e preventivando un risparmio di almeno due miliardi per ogni gruppo di trenta, organizzava viaggi agevolati senza ritorni.
data/videos/Video44.mp4      -0.352667                                                                                                                                                                                                                                                                                                                                                                                                                                             Ragazzi c'è la buia!
data/videos/Video45.mp4      -0.157323                                                                                                                                                                                                                                                                             Ma Marco continuava a dormire come un gran pigrone, non aveva ascoltato i cori e in più la sera precedente aveva visto un film alla televisione. Perciò stanco come non aveva visto.
data/videos/Video46.mp4      -0.139714                                                                                                        In questo bel buio potrei fare io Cappuccetto Rosso. La aiuterò a tornare a casa dalla nonna. E mentre lei è lì tranquilla, che si fida di me, io mi am... me la faccio! Ciao bella bambina, buonasera! Ma te sei un lupo vero vero vero? Sì, mi chiamano giusto lupo cattivo del bosco. Ma te sei un lupo cattivo cattivo? Sì, cattivo! E ora ti mangio!
data/videos/Video47.mp4      -0.126260                                                                                                                                                                                                                                                                                                                                                                                                                                                    silence/noise
data/videos/Video48.mp4      -0.171845                                                                                                                                                                                                       Un giro sprint ed è Duccio Marsili in testa, seguito da Giacomo Mazza, poi Piercini, poi Mallorca, ma sono lì tutti vicini, vicinissimi nelle parti opposte a quella dell'arrivo del tracciato, fuori all'esterno Piercini che passa, Marsili all'interno.
data/videos/Video49.mp4      -0.131301                                                                                                                                                                                                                                                                                                                                                               Se non la spingo io non scenderete mai. Ci siete? Ci siete? Sì? Tienila forte, Vane. Ok? Vado! Ok.
data/videos/Video50.mp4      -0.122011                                                                                                                                                                                                                                                                                                                                                                                                                                                    silence/noise
data/videos/Video51.mp4      -0.354011                                                                                                                                                                                                                                                                                                                                                                                                                                                    silence/noise
data/videos/Video52.mp4      -0.011554                                                                                                                                                                                                                                                                                                                                                                                                                                                    silence/noise
data/videos/Video53.mp4      -0.087875                                                                                                                                                                                                                                                                                                                                                                                                                                                    silence/noise
data/videos/Video54.mp4      -0.007306                                                                                                                                                                                                                                                                                                                                                                                                                                                            music
data/videos/Video55.mp4      -0.017293                                                                                                                                                                                                                                                                                                                                                                                                                                                    silence/noise
data/videos/Video56.mp4      -0.216384                                                                                                                                                                                                                                                                                                                                                                                                                                                    silence/noise
data/videos/Video57.mp4      -0.156988                                                                                                                                                                                                                                                                                                                                                                                                                                                    silence/noise
data/videos/Video58.mp4      -0.147429                                                                                                                                                                                                                                                                                                                                                                                                                                   La margherita quanto verrebbe?
data/videos/Video59.mp4      -0.593226                                                                                                                                                                                                                                                                                                                                                                                                                                                 unknown dialogue
data/videos/Video60.mp4      -0.116968                                                                                                                                                                                                                                                                                                                                                                                                                                            Dentro c'è la lingua.
data/videos/Video61.mp4      -0.167649                                                                                                                                                                                                                                                                                                                                                                                                                                                    silence/noise
data/videos/Video62.mp4      -0.054623                                                                                                                                                                                                                                                                                                                                                                                                                                                    silence/noise
data/videos/Video63.mp4      -0.071766                                                                                                                                                                                                                                                                                                                                                                                                                                                    silence/noise
data/videos/Video64.mp4      -0.395743                                                                                                                                                                                                                                                                                                                                                                                                                                                 unknown dialogue
data/videos/Video65.mp4      -0.012451                                                                                                                                                                                                                                                                                                                                                                                                                                                    silence/noise
data/videos/Video66.mp4      -0.008424                                                                                                                                                                                                                                                                                                                                                                                                                                                    silence/noise
data/videos/Video67.mp4      -0.081423                                                                                                                                                                                                                                                                                                                                                                                                                                                 unknown dialogue
data/videos/Video68.mp4      -0.402714                                                                                                                                                                                                                                                                                                                                                                                                                                                 unknown dialogue
data/videos/Video69.mp4      -0.182638                                                                                                                                                                                                                                                                                                                                                                                                                                                    silence/noise
data/videos/Video70.mp4      -0.194512                                                                                                                                                                                                                                                                                                                                                                                                                                  Dentro, spegni, spegni, spegni.
data/videos/Video71.mp4      -0.074146                                                                                                                                            Franco, la crisi fa sentire, niente, diamo con le arance, sono buone, sono belle, chiedetelo alle vostre sorelle, diamo con le arance, le arance, diamo con le arance, forza con le arance, le arance, le arance, vai. Ma sono dolci? Sono dolci, dicevo dolci, sono arance, quella pasticceria, diamo con le arance.
data/videos/Video72.mp4      -0.013976                                                                                                                                                                                                                                                                                                                                                                                                                                                    silence/noise
data/videos/Video73.mp4      -0.008646                                                                                                                                                                                                                                                                                                                                                                                                                                                    silence/noise
data/videos/Video74.mp4      -0.069632                   Dunque, patatina lei per te, patatina lei per me, lei per la mamma, lei per tua sorella, lei per il nonno, lei per il portinaio e lei per il bagnino. Papà, manca la valigia. Ah già! Una volta provate, non puoi più dimenticarle. Lays, life needs flavor. Si sblocca con uno sguardo e si avvia un video, sembra di essere al cinema. In certi momenti mi chiedo, ma questo smartphone l'ho pagato proprio così. Incredibile, è nel prezzo!
data/videos/Video75.mp4      -0.247829                                                                                                                                                                                                                                                                                                                                                                                                          Va bene, così poi ti puoi ricordare del dentino storto.
data/videos/Video76.mp4      -0.133352                                                                                                                                                                                                                                                                                                                                                                                                                                                    silence/noise
data/videos/Video77.mp4      -0.014309                                                                                                                                                                                                                                                                                                                                                                                                                                                    silence/noise
data/videos/Video78.mp4      -0.119252                                                                                                                                                                                                                                                                                                                                                                                                                                                            music
data/videos/Video79.mp4      -0.063615                                                                         Buona colazione! Ma dove siamo? Al bar da papà? E cosa vi ha preparato il papà? Cappuccino. Cappuccino, la torta. Questa torta è uno spoiler, è uno spoiler, non bisogna dire molto di questa torta. Abbiamo festeggiato qualcosa, vero? E tu, cappuccino? La mangi la tortina anche tu? È buono il cappuccino che fa il papà? Sì? Allora buona domenica! Grazie, ciao! Ciao ciao! Ciao!
data/videos/Video80.mp4      -0.144804                                                                                                                                                                                                                                                                                                                                                                                                                                                            music
data/videos/Video81.mp4      -0.014563                                                                                                                                                                                                                                                                                                                                                                                                                                                    silence/noise
data/videos/Video82.mp4      -0.017952                                                                                                                                                                                                                                                                                                                                                                                                                                                            music
data/videos/Video83.mp4      -0.056421                                                                                                                                                                                                                                                                                                                                                                                                                                                            music
data/videos/Video84.mp4      -0.561657                                                                                                                                                                                                                                                                                                                                                                                                                                                   Fai si boccia!
data/videos/Video85.mp4      -0.011936                                                                                                                                                                                                                                                                                                                                                                                                                                                    silence/noise
data/videos/Video86.mp4      -0.046941                                                                                                                                                                                                                                                                                                                                                                                                                                                    silence/noise
data/videos/Video87.mp4      -0.076831                                                                                                                                                                                                                                                                                                                                                                                      Il latte che viene munto finisce dentro a quel secchio. Lo vedete di sotto.
data/videos/Video88.mp4      -0.422001                                                                                                                                                                                                                                                                                                                                                                                                                                                            music
data/videos/Video89.mp4      -0.063249                                   Molto bene Antonio Tiberi, avete visto che ha cercato senza andare fuori giri di stare nella scia dei corridori al comando e Tramposi continua a parlare, forse gli ha detto ce la fai ancora tirare un po' o devo partire? E Michael gli ha detto sì forse ce la faccio ancora per tirare. Una cinquantina di secondi l'avvantaggio di Pellizzari nei confronti di questa prima parte del gruppo della Maglia Rosa, ce la fa.
data/videos/Video90.mp4      -0.163634                                                                                                                                                                                                                                                                                                                                                                                                                                                            music
data/videos/Video91.mp4      -0.109988                                                                                                                                                           Io lo so, io lo so che un po' di bene già mi vuoi. Dimmi perché, ma perché, ma perché, negli occhi miei non guardi mai. Eppure io lo so, io lo so che un po' di bene già mi vuoi. Dottore, sì, posso chiedere a lei, se avete questo farmaco? Questo farmaco, sì. Bustine o pillole? Pillole è meglio.
data/videos/Video92.mp4      -0.023968                                                                                                                                                                                                                                                                                  Buongiorno. Buongiorno, cosa desiderate? Vorremmo un chilo di farina, una scatola di pomodori e due mozzarelle. Anche un po' di lievito e una bottiglia da mezzo litro di olio.
data/videos/Video93.mp4      -0.019078                                                                                                                                                                                                                                                                                                                                                                                                                                                            music
data/videos/Video94.mp4      -0.075017  Se vi mettete dove state, questa ha una buona continuità di legno. Manomale che sali si restringe e se è vero questo dal punto di vista dei principi dei vasi comunicanti, tanto più si sfila, tanto più si ferma. Questa pianta l'abbiamo... tu ti fermi adesso. Non lo so se con altro linguaggio, non vorrei usare il linguaggio tecnico, voglio usare quello immediato. Cioè nel senso che questa è una pianta, qui abbiamo ridato una continuità di legno.
data/videos/Video95.mp4      -0.004649                                                                                                                                                                                                                                                                                                                                                                                                                                                    silence/noise
data/videos/Video96.mp4      -0.255058                                                                                                                                                                                                                                                                                                                                                                                                                                                            music
data/videos/Video97.mp4      -0.029161                                                                                                                                                                                                                                                                                                                                                                                                                                                    silence/noise
data/videos/Video98.mp4      -0.049230                                                                                                                                                                                                                                                                                                                                                                                                                                                    silence/noise
data/videos/Video99.mp4      -0.400894                                                                                                                                                                                                                                                                                                                                                                                                                                                            music
data/videos/Video100.mp4     -0.007546                                                                                                                                                                                                                                                                                                                                                                                                                                                    silence/noise
