EXPERIMENT 2 REPORT
===================

GLOBAL METRICS
--------------
 scope  total_examples  valid_answers  invalid_answers  empty_answers  overall_accuracy  valid_only_accuracy  precision_label_0  recall_label_0  f1_label_0  precision_label_1  recall_label_1  f1_label_1  true_0_pred_0  true_0_pred_1  true_1_pred_0  true_1_pred_1
  Video9             192            192                0              0            0.6250               0.6250             0.6164          0.8491      0.7143             0.6522          0.3488      0.4545             90             16             56             30
 Video10             192            192                0              0            0.6979               0.6979             0.6863          0.7292      0.7071             0.7111          0.6667      0.6882             70             26             32             64
 Video11             192            192                0              0            0.6302               0.6302             0.6126          0.7083      0.6570             0.6543          0.5521      0.5989             68             28             43             53
 Video12             192            192                0              0            0.5677               0.5677             0.5496          0.7500      0.6344             0.6066          0.3854      0.4713             72             24             59             37
 Video13             192            192                0              0            0.6562               0.6562             0.6748          0.7615      0.7155             0.6232          0.5181      0.5658             83             26             40             43
 Video14             192            192                0              0            0.6250               0.6250             0.5859          0.7979      0.6757             0.7031          0.4592      0.5556             75             19             53             45
 Video15             192            192                0              0            0.6250               0.6250             0.5592          0.9444      0.7025             0.8750          0.3431      0.4930             85              5             67             35
 Video16             192            192                0              0            0.5469               0.5469             0.4789          0.8395      0.6099             0.7400          0.3333      0.4596             68             13             74             37
 Video17             192            192                0              0            0.6042               0.6042             0.6283          0.6762      0.6514             0.5696          0.5172      0.5422             71             34             42             45
 Video18             192            192                0              0            0.6771               0.6771             0.6804          0.6804      0.6804             0.6737          0.6737      0.6737             66             31             31             64
 Video19             192            192                0              0            0.5990               0.5990             0.5200          0.9398      0.6695             0.8810          0.3394      0.4901             78              5             72             37
 Video20             192            192                0              0            0.6302               0.6302             0.5875          0.9495      0.7259             0.8438          0.2903      0.4320             94              5             66             27
 Video21             192            192                0              0            0.6094               0.6094             0.5227          0.8519      0.6479             0.8000          0.4324      0.5614             69             12             63             48
 Video22             192            192                0              0            0.6615               0.6615             0.5674          0.9524      0.7111             0.9216          0.4352      0.5912             80              4             61             47
 Video23             192            192                0              0            0.5781               0.5781             0.5252          0.8295      0.6432             0.7170          0.3654      0.4841             73             15             66             38
 Video24             192            192                0              0            0.7188               0.7188             0.7228          0.7374      0.7300             0.7143          0.6989      0.7065             73             26             28             65
 Video25             192            192                0              0            0.6406               0.6406             0.5672          0.8736      0.6878             0.8103          0.4476      0.5767             76             11             58             47
 Video26             192            192                0              0            0.7708               0.7708             0.7714          0.8020      0.7864             0.7701          0.7363      0.7528             81             20             24             67
 Video27             192            192                0              0            0.7396               0.7396             0.7184          0.7789      0.7475             0.7640          0.7010      0.7312             74             21             29             68
 Video28             192            192                0              0            0.5677               0.5677             0.5232          0.8778      0.6556             0.7317          0.2941      0.4196             79             11             72             30
 Video29             192            192                0              0            0.6250               0.6250             0.5882          0.9091      0.7143             0.7692          0.3226      0.4545             90              9             63             30
 Video30             192            192                0              0            0.6510               0.6510             0.5887          0.9022      0.7124             0.8235          0.4200      0.5563             83              9             58             42
 Video31             192            192                0              0            0.5729               0.5729             0.5310          0.6742      0.5941             0.6329          0.4854      0.5495             60             29             53             50
 Video32             192            192                0              0            0.7760               0.7760             0.7742          0.7660      0.7701             0.7778          0.7857      0.7817             72             22             21             77
 Video33             192            192                0              0            0.7240               0.7240             0.6639          0.8710      0.7535             0.8286          0.5859      0.6864             81             12             41             58
 Video34             192            192                0              0            0.5781               0.5781             0.5359          0.8913      0.6694             0.7436          0.2900      0.4173             82             10             71             29
 Video35             192            192                0              0            0.5573               0.5573             0.4967          0.9048      0.6414             0.7949          0.2870      0.4218             76              8             77             31
 Video36             192            192                0              0            0.6094               0.6094             0.6000          0.7500      0.6667             0.6269          0.4565      0.5283             75             25             50             42
 Video37             192            192                0              0            0.6198               0.6198             0.5850          0.8776      0.7020             0.7333          0.3511      0.4748             86             12             61             33
 Video38             192            192                0              0            0.5677               0.5677             0.5036          0.8333      0.6278             0.7358          0.3611      0.4845             70             14             69             39
 Video39             192            192                0              0            0.6042               0.6042             0.5764          0.8469      0.6860             0.6875          0.3511      0.4648             83             15             61             33
 Video40             192            192                0              0            0.6406               0.6406             0.6607          0.7048      0.6820             0.6125          0.5632      0.5868             74             31             38             49
 Video41             192            192                0              0            0.6146               0.6146             0.5591          0.7978      0.6574             0.7231          0.4563      0.5595             71             18             56             47
 Video42             192            192                0              0            0.6719               0.6719             0.7059          0.6122      0.6557             0.6449          0.7340      0.6866             60             38             25             69
 Video43             192            192                0              0            0.6198               0.6198             0.6218          0.8739      0.7266             0.6111          0.2716      0.3761             97             14             59             22
 Video44             192            192                0              0            0.6406               0.6406             0.5956          0.8526      0.7013             0.7500          0.4330      0.5490             81             14             55             42
 Video45             192            192                0              0            0.6510               0.6510             0.6115          0.9412      0.7413             0.8286          0.3222      0.4640             96              6             61             29
 Video46             192            192                0              0            0.6615               0.6615             0.6491          0.7475      0.6948             0.6795          0.5699      0.6199             74             25             40             53
 Video47             192            192                0              0            0.5833               0.5833             0.5404          0.9355      0.6850             0.8065          0.2525      0.3846             87              6             74             25
 Video48             192            192                0              0            0.6927               0.6927             0.6373          0.7471      0.6878             0.7556          0.6476      0.6974             65             22             37             68
 Video49             192            192                0              0            0.6354               0.6354             0.5833          0.7159      0.6429             0.7024          0.5673      0.6277             63             25             45             59
 Video50             192            192                0              0            0.6146               0.6146             0.5500          0.8750      0.6754             0.7885          0.3942      0.5256             77             11             63             41
 Video51             192            192                0              0            0.6406               0.6406             0.5857          0.8817      0.7039             0.7885          0.4141      0.5430             82             11             58             41
 Video52             192            192                0              0            0.6562               0.6562             0.6000          0.9158      0.7250             0.8298          0.4021      0.5417             87              8             58             39
 Video53             192            192                0              0            0.6615               0.6615             0.6214          0.8788      0.7280             0.7692          0.4301      0.5517             87             12             53             40
 Video54             192            192                0              0            0.6198               0.6198             0.5612          0.8667      0.6812             0.7736          0.4020      0.5290             78             12             61             41
 Video55             192            192                0              0            0.6510               0.6510             0.5882          0.9574      0.7287             0.8974          0.3571      0.5109             90              4             63             35
 Video56             192            192                0              0            0.6406               0.6406             0.5878          0.9158      0.7160             0.8182          0.3711      0.5106             87              8             61             36
 Video57             192            192                0              0            0.6510               0.6510             0.6071          0.7473      0.6700             0.7125          0.5644      0.6298             68             23             44             57
 Video58             192            192                0              0            0.7135               0.7135             0.6320          0.8977      0.7418             0.8657          0.5577      0.6784             79              9             46             58
 Video59             192            192                0              0            0.6667               0.6667             0.6691          0.8378      0.7440             0.6604          0.4321      0.5224             93             18             46             35
 Video60             192            192                0              0            0.6927               0.6927             0.7010          0.6939      0.6974             0.6842          0.6915      0.6878             68             30             29             65
 Video61             192            192                0              0            0.6875               0.6875             0.6575          0.9057      0.7619             0.7826          0.4186      0.5455             96             10             50             36
 Video62             192            192                0              0            0.5729               0.5729             0.5208          0.8523      0.6466             0.7292          0.3365      0.4605             75             13             69             35
 Video63             192            192                0              0            0.5625               0.5625             0.5235          0.8571      0.6500             0.6977          0.2970      0.4167             78             13             71             30
 Video64             192            192                0              0            0.6615               0.6615             0.6293          0.7684      0.6919             0.7105          0.5567      0.6243             73             22             43             54
 Video65             192            192                0              0            0.6042               0.6042             0.5252          0.8795      0.6577             0.8113          0.3945      0.5309             73             10             66             43
 Video66             192            192                0              0            0.5781               0.5781             0.5369          0.8696      0.6639             0.7209          0.3100      0.4336             80             12             69             31
 Video67             192            192                0              0            0.5833               0.5833             0.5616          0.8367      0.6721             0.6522          0.3191      0.4286             82             16             64             30
 Video68             192            192                0              0            0.6667               0.6667             0.6293          0.7766      0.6952             0.7237          0.5612      0.6322             73             21             43             55
 Video69             192            192                0              0            0.6354               0.6354             0.5436          0.9759      0.6983             0.9535          0.3761      0.5395             81              2             68             41
 Video70             192            192                0              0            0.6302               0.6302             0.6100          0.6559      0.6321             0.6522          0.6061      0.6283             61             32             39             60
 Video71             192            192                0              0            0.6354               0.6354             0.6183          0.8020      0.6983             0.6721          0.4505      0.5395             81             20             50             41
 Video72             192            192                0              0            0.6094               0.6094             0.5962          0.8857      0.7126             0.6667          0.2759      0.3902             93             12             63             24
 Video73             192            192                0              0            0.5625               0.5625             0.5000          0.8810      0.6379             0.7727          0.3148      0.4474             74             10             74             34
 Video74             192            192                0              0            0.5781               0.5781             0.5542          0.9293      0.6943             0.7308          0.2043      0.3193             92              7             74             19
 Video75             192            192                0              0            0.7604               0.7604             0.7154          0.8889      0.7928             0.8406          0.6237      0.7160             88             11             35             58
 Video76             192            192                0              0            0.6406               0.6406             0.5946          0.9072      0.7184             0.7955          0.3684      0.5036             88              9             60             35
 Video77             192            192                0              0            0.6719               0.6719             0.6519          0.9279      0.7658             0.7647          0.3210      0.4522            103              8             55             26
 Video78             192            192                0              0            0.6042               0.6042             0.5616          0.8723      0.6833             0.7391          0.3469      0.4722             82             12             64             34
 Video79             192            192                0              0            0.6562               0.6562             0.5913          0.7816      0.6733             0.7532          0.5524      0.6374             68             19             47             58
 Video80             192            192                0              0            0.6146               0.6146             0.5608          0.9022      0.6917             0.7955          0.3500      0.4861             83              9             65             35
 Video81             192            192                0              0            0.5885               0.5885             0.5182          0.8452      0.6425             0.7636          0.3889      0.5153             71             13             66             42
 Video82             192            192                0              0            0.5885               0.5885             0.5540          0.8191      0.6609             0.6792          0.3673      0.4768             77             17             62             36
 Video83             192            192                0              0            0.6562               0.6562             0.6350          0.8447      0.7250             0.7091          0.4382      0.5417             87             16             50             39
 Video84             192            192                0              0            0.6198               0.6198             0.6149          0.8505      0.7137             0.6364          0.3294      0.4341             91             16             57             28
 Video85             192            192                0              0            0.6667               0.6667             0.6276          0.9010      0.7398             0.7872          0.4066      0.5362             91             10             54             37
 Video86             192            192                0              0            0.6042               0.6042             0.5714          0.8660      0.6885             0.7111          0.3368      0.4571             84             13             63             32
 Video87             192            192                0              0            0.7344               0.7344             0.7358          0.7723      0.7536             0.7326          0.6923      0.7119             78             23             28             63
 Video88             192            192                0              0            0.6875               0.6875             0.6667          0.8350      0.7414             0.7302          0.5169      0.6053             86             17             43             46
 Video89             192            192                0              0            0.7031               0.7031             0.6807          0.8100      0.7397             0.7397          0.5870      0.6545             81             19             38             54
 Video90             192            192                0              0            0.6458               0.6458             0.6331          0.8381      0.7213             0.6792          0.4138      0.5143             88             17             51             36
 Video91             192            192                0              0            0.7344               0.7344             0.7311          0.8208      0.7733             0.7397          0.6279      0.6792             87             19             32             54
 Video92             192            192                0              0            0.6562               0.6562             0.6331          0.8544      0.7273             0.7170          0.4270      0.5352             88             15             51             38
 Video93             192            192                0              0            0.6719               0.6719             0.6454          0.8750      0.7429             0.7451          0.4318      0.5468             91             13             50             38
 Video94             192            192                0              0            0.6875               0.6875             0.6525          0.8021      0.7196             0.7432          0.5729      0.6471             77             19             41             55
 Video95             192            192                0              0            0.6250               0.6250             0.5775          0.8723      0.6949             0.7600          0.3878      0.5135             82             12             60             38
 Video96             192            192                0              0            0.6302               0.6302             0.5804          0.8830      0.7004             0.7755          0.3878      0.5170             83             11             60             38
 Video97             192            192                0              0            0.6094               0.6094             0.5497          0.9222      0.6888             0.8293          0.3333      0.4755             83              7             68             34
 Video98             192            192                0              0            0.6406               0.6406             0.6127          0.8614      0.7160             0.7200          0.3956      0.5106             87             14             55             36
 Video99             192            192                0              0            0.6250               0.6250             0.5584          0.9556      0.7049             0.8947          0.3333      0.4857             86              4             68             34
Video100             192            192                0              0            0.6042               0.6042             0.5786          0.8265      0.6807             0.6731          0.3723      0.4795             81             17             59             35
