                       log-prob  compression_ratio  no_speech:prob                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                        type
./Videos/Video21.mp4  -0.285282           1.585101        0.813453                                                                                                                                                                                                                                                                                                                                                                                                                                                                                            dialogue unknown
./Videos/Video22.mp4  -0.455886          13.217647        0.654569                                                                                                                                                                                                                                                                                                                                                                                                                                                                                            dialogue unknown
./Videos/Video23.mp4  -0.646560           1.061754        0.226855                                                                                                                                                                                                                                                                                                                                                                                                                                                                                            dialogue unknown
./Videos/Video24.mp4  -0.756050           0.948558        0.213364                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                       music
./Videos/Video25.mp4  -0.352654           0.846154        0.791764                                                                                                                                                                                                                                                                                                                                                                                                                                                                                               silence/noise
./Videos/Video26.mp4  -0.895633           1.162540        0.053428                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                       music
./Videos/Video27.mp4  -0.424958           0.846154        0.800618                                                                                                                                                                                                                                                                                                                                                                                                                                                                                               silence/noise
./Videos/Video28.mp4  -0.452839           0.846154        0.699931                                                                                                                                                                                                                                                                                                                                                                                                                                                                                               silence/noise
./Videos/Video29.mp4  -0.646337           1.310714        0.721473                                                                                                                                                                                                                                                                                                                                                                                                                                                                                            dialogue unknown
./Videos/Video30.mp4  -0.463418           0.846154        0.473502                                                                                                                                                                                                                                                                                                                                                                                                                                                                                               silence/noise
./Videos/Video31.mp4  -0.265038           8.123494        0.679230                                                                                                                                                                                                                                                                                                                                                                                                                                                                                            dialogue unknown
./Videos/Video32.mp4  -0.529276           1.173312        0.232911                                                                                                                                                                                                                                                                                                             adesso mangiamo? ma cosa fai parecchi? ma dovresti anche sciacquare poi, ecco vediamo un po' questa bambina che brava ma sei bravissima allora mi aiuti tu sempre ok grazie guardate come si fa
./Videos/Video33.mp4  -0.245869           1.553282        0.414158                                                                                                               perchè guarda questa secondo me Stefano è la parte della frenata perchè sono caduti davanti però ok, io tocco i freni poi è vero che al giorno d'oggi non è più come una volta, poi adesso magari potranno iniziare le polemiche chiaramente ora con i freni a disco che frenano pinzano molto più con molta più forza nel momento in cui il corridore si spaventa frena con il freno a disco
./Videos/Video34.mp4  -0.541360           0.846154        0.761770                                                                                                                                                                                                                                                                                                                                                                                                                                                                                               silence/noise
./Videos/Video35.mp4  -0.891528           0.428571        0.676757                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                       music
./Videos/Video36.mp4  -0.382678           1.697486        0.430816                                                                                                                                                                                                                                                                                                                                      auguri a te tanti auguri mannaggia la m***a sono cascato testa di c***o strutti sono cascato auguri Tomas mannaggia la m***a testa di c***o strutti auguri auguri a te
./Videos/Video37.mp4  -0.444611           1.299413        0.138736                                                                                                                                                                             Madonna, sei fatta male ancora. Vanessa che volo hai fatto? Ragazze, se non entriamo qua ci distruggiamo, lei si è tagliata una mano. Allora, sentite che sono al deletto. Dai, poi andiamo. Bro, dov'è il mio libro? Libro? Libro? È quella di qui. No, lo sapevo. Ma scusa, ma Anastasia. La gamba. No, no, no. Ma Anastasia.
./Videos/Video38.mp4  -0.361071           0.846154        0.818907                                                                                                                                                                                                                                                                                                                                                                                                                                                                                               silence/noise
./Videos/Video39.mp4  -0.930911           1.018985        0.503279                                                                                                                                                                                                                                                                                                                                                                                         con il ragazzo del centro c'è troppi dei bottigiani di strada Parto via dei compagni guai S'occupietto di se stessa
./Videos/Video40.mp4  -0.407016           1.574880        0.243833                                                                                                                      Si vergogna perchè non è toccato Ma che cazzo te ne butti, sei in aperitivo, ma si Vai, fatti tu risare Com'è il nostro aperitivo? Anche lei si vergogna Dai Fede Questo aperitivo è molto easy Prendi buoni e benzina Buoni e benzina Ci vuole i voglio e benzina Aspetta, ce ne anch'io due Questa è la foto per bere Questo è l'aperitivo C'è gente che balla, gente che si diverte
./Videos/Video41.mp4  -0.339717           0.846154        0.671468                                                                                                                                                                                                                                                                                                                                                                                                                                                                                               silence/noise
./Videos/Video42.mp4  -0.166750          21.175000        0.644034                                                                                                                                                                                                                                                                                                                                                                                                                                                                                            dialogue unknown
./Videos/Video43.mp4  -0.395668           1.243793        0.149424                                                                                                                                                                                                                                                                                   ...gran loggia da istituto nazionale previdenza sociale e istituto neutralizzazione parassiti sociali e preventivando un risparmio di almeno 2 miliardi per ogni gruppo di 30 organizzava viaggi agevolati senza ritorno.
./Videos/Video44.mp4  -0.620574           1.195325        0.338863                                                                                                                                                                                                                                                                                                                                                                                                                                                                                            dialogue unknown
./Videos/Video45.mp4  -0.471796           1.409091        0.055247                                                                                                                                                                                                                                                                                                                    Gianmarco continuava a dormire come un grandissimo, non aveva ascolto i corsi e in più la sera precedente aveva visto un film alla televisione, perciò tanto come lui non aveva il film.
./Videos/Video46.mp4  -0.388269           1.424535        0.187190                                                                                                       Con questo bel muoio, potrei, potrei imparare io cappuccetto rosso. La aiuterò a tornare a casa della nonna. E mentre lei è lì tranquilla, che si fida di me, io mi amano. Me l'ha fatto! Ciao, bella bambina, buonasera! Ma te sei un lupo vero, vero, vero? Sì, mi chiamano giusto il lupo cattivo del bosco. Ma te sei anche un lupo cattivo, cattivo? Sì, cattivo, molto cattivo. E ora ti bello!
./Videos/Video47.mp4  -1.025819           0.428571        0.734408                                                                                                                                                                                                                                                                                                                                                                                                                                                                                               silence/noise
./Videos/Video48.mp4  -0.447864           1.483104        0.729993                                                                                                                                                                                                              Un giro sprint ed è Duccio Marsini in testa, seguito da Giacomo Mazza, poi Piercigli, poi Mallorca, ma sono lì tutti vicini, vicinissimi, nelle parte opposta con l'arrivo del tracciato, con all'esterno Piercigli che attacca, Marsini all'interno. Aiuto! Aiuto! Marsini! Marsini! Marsini!
./Videos/Video49.mp4  -0.860665           0.933363        0.321575                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                       music
./Videos/Video50.mp4  -0.338164           0.846154        0.960347                                                                                                                                                                                                                                                                                                                                                                                                                                                                                               silence/noise
./Videos/Video51.mp4  -0.410480           0.846154        0.734556                                                                                                                                                                                                                                                                                                                                                                                                                                                                                               silence/noise
./Videos/Video52.mp4   0.000000           0.000000        0.000000                                                                                                                                                                                                                                                                                                                                                                                                                                                                                               silence/noise
./Videos/Video53.mp4  -0.174583          26.235294        0.906205                                                                                                                                                                                                                                                                                                                                                                                                                                                                                            dialogue unknown
./Videos/Video54.mp4  -0.440410          13.217647        0.934817                                                                                                                                                                                                                                                                                                                                                                                                                                                                                            dialogue unknown
./Videos/Video55.mp4  -0.515524           0.846154        0.603925                                                                                                                                                                                                                                                                                                                                                                                                                                                                                               silence/noise
./Videos/Video56.mp4  -0.671135           1.172276        0.585340                                                                                                                                                                                                                                                                                                                                                                                                                                                                                            dialogue unknown
./Videos/Video57.mp4  -0.939622           0.828571        0.312775                                                                                                                                                                                                                                                                                                                                                                                                                                                                               ...50, 100, 200 euro. Grazie.
./Videos/Video58.mp4  -0.724426           0.881788        0.808563                                                                                                                                                                                                                                                                                                                                                                                                                                                                                            dialogue unknown
./Videos/Video59.mp4  -0.289230           4.312500        0.114852                                                                                                                                                                                                                                                                                                                                                                                                                                                                                            dialogue unknown
./Videos/Video60.mp4  -0.250530          18.279710        0.659960                                                                                                                                                                                                                                                                                                                                                                                                                                                                                            dialogue unknown
./Videos/Video61.mp4  -0.758686           0.666667        0.219065                                                                                                                                                                                                                                                                                                                                                                                                                                                                                            Siamo a Florence
./Videos/Video62.mp4  -1.138179           0.428571        0.426924                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                       music
./Videos/Video63.mp4  -0.199722          26.235294        0.598399                                                                                                                                                                                                                                                                                                                                                                                                                                                                                            dialogue unknown
./Videos/Video64.mp4  -0.949586           1.245098        0.815601                                                                                                                                                                                                                                                                                                                                                                             Numero 10 andiamo a Sicilia, da Sicilia il colombo dei giugnelli sbarotti, molto eleganti, con una fascia intorno alla caviglia
./Videos/Video65.mp4  -0.636245           0.911688        0.742477                                                                                                                                                                                                                                                                                                                                                                                                                                                                                         ... ... ... ... ...
./Videos/Video66.mp4  -0.409149           3.572086        0.815864                                                                                                                                                                                                                                                                                                                                                                                                                                                                                            dialogue unknown
./Videos/Video67.mp4  -0.770034           1.069444        0.172706                                                                                                                                                                                                                                                                                                                                                                                                                                I miei figli saranno migliori e diventeranno italiani Sì, avranno una lingua
./Videos/Video68.mp4  -0.468634           1.285287        0.665324                                                                                                                                                                                                                                                                                                                                                         O Dio divino, io ti vedo qui a te mai, o Dio beato, hai quanto di posso d'avermi amato, hai quanto di posso d'avermi amato, a te che sei del mondo.
./Videos/Video69.mp4  -0.366859           0.846154        0.865766                                                                                                                                                                                                                                                                                                                                                                                                                                                                                               silence/noise
./Videos/Video70.mp4  -0.416263           2.054128        0.257508                                                                                                ma scimmie e nandaggio non ne avevo mai visto andiamo, si si si adesso andiamo ok asciugatevi asciugatevi andiamo dentro andiamo dentro tieniamo i carabinieri dai dai dai via via via scappa sono paura dentro dentro dentro dentro spegni spegni spegni vogliamo andare in camera? si andiamo in camera andiamo in camera che qua fa freddo venite venite Sami Sami vieni chiudi chiudi tutto chiudi tutto
./Videos/Video71.mp4  -0.423148           1.825535        0.237003                                                                                                                                                                                Franco la Cris fa sentire niente diamo con le arance diamo sono buone sono belle chiedetelo alle vostre sorelle diamo con le arance le arance diamo con le arance forza con le arance le arance eh le arance vai ma sono dolci sono dolci e se erano dolci dicevo dolci sono arance quella patice e rime diamo con le arance
./Videos/Video72.mp4  -0.169444          26.235294        0.651391                                                                                                                                                                                                                                                                                                                                                                                                                                                                                            dialogue unknown
./Videos/Video73.mp4  -0.291867           3.440404        0.686073                                                                                                                                                                                                                                                                                                                                                                                                                                                                                            dialogue unknown
./Videos/Video74.mp4  -0.282200           1.611307        0.025282                                          Check papà! Dunque, patatine Lays per te, patatine Lays per me, Lays per la mamma, Lays per tua sorella, Lays per il nonno, Lays per il portillaio e Lays per il bagnino. Papà, manca la valigia. Ah già! Una volta provate, non puoi più dimenticarle! Lays, life needs flavor! Si sblocca con uno sguardo e si avvia un video, sembra di essere al cinema. In certi momenti mi chiedo, ma questo smartphone l'ho pagato proprio così? Incredibile! È nel prezzo!
./Videos/Video75.mp4  -0.364455           1.624807        0.438795                                                                  eccolo là qui adesso l'apro ma anche lei l'ha già visto prima lo apriamo così senza niente così senti un po' come quando te lo appoggi sui denti e poi dopo ti spiego come funziona il progresso delle cose, va bene? l'orellino che c'ha fatto tu non è sopra, così poi ti puoi ricordare del dentino storto quindi così, apro grande semplicemente si appoggia sui dentini dietro e si spinge fine, insieme nessun male, nessun fastidio
./Videos/Video76.mp4  -0.469720          13.217647        0.868580                                                                                                                                                                                                                                                                                                                                                                                                                                                                                            dialogue unknown
./Videos/Video77.mp4  -0.504626           0.846154        0.794646                                                                                                                                                                                                                                                                                                                                                                                                                                                                                               silence/noise
./Videos/Video78.mp4  -0.349064           0.846154        0.980570                                                                                                                                                                                                                                                                                                                                                                                                                                                                                               silence/noise
./Videos/Video79.mp4  -0.455028           1.483648        0.148648                                                                                                                Buona colazione ma dove siamo al bar da papà? E cosa vi ha preparato il papà? Cappuccino. Cappuccino, la torta, questa torta è uno spoiler, è uno spoiler, non bisogna dire molto di questa torta, abbiamo festeggiato qualcosa, vero? E tu cappuccino? La mangi la tortina anche tu? Eh? E' buono il cappuccino che fa il papà? Sì? Allora buona domenica! Buona domenica, ciao! Ciao ciao!
./Videos/Video80.mp4  -0.521498           0.846154        0.844352                                                                                                                                                                                                                                                                                                                                                                                                                                                                                               silence/noise
./Videos/Video81.mp4  -0.400782           0.846154        0.737230                                                                                                                                                                                                                                                                                                                                                                                                                                                                                               silence/noise
./Videos/Video82.mp4  -0.435443           0.846154        0.926422                                                                                                                                                                                                                                                                                                                                                                                                                                                                                               silence/noise
./Videos/Video83.mp4   0.000000           0.000000        0.000000                                                                                                                                                                                                                                                                                                                                                                                                                                                                                               silence/noise
./Videos/Video84.mp4  -0.212503           2.763158        0.207457                                                                                                                                                                                                                                                                                                                                                                                                                                                                                            dialogue unknown
./Videos/Video85.mp4  -0.349983           0.846154        0.978052                                                                                                                                                                                                                                                                                                                                                                                                                                                                                               silence/noise
./Videos/Video86.mp4  -0.355268           0.846154        0.977964                                                                                                                                                                                                                                                                                                                                                                                                                                                                                               silence/noise
./Videos/Video87.mp4  -0.446943           0.910006        0.035722                                                                                                                                                                                                                                                                                                                                                                                                             Ecco, si attacca così Il latte che viene munto finisce dentro a quel secchio Lo vedete lì sotto
./Videos/Video88.mp4  -0.570546           0.846154        0.764932                                                                                                                                                                                                                                                                                                                                                                                                                                                                                               silence/noise
./Videos/Video89.mp4  -0.391756           1.475794        0.442862                                                                             molto bene Antonio Tiberi avete visto che ha cercato senza andare fuori giri di stare nella scia dei corridori al comando e Tramposi continua a parlare forse gli ha detto ce la fai ancora a tirare un po' o devo partire e Maica gli ha detto sì forse ce la faccio ancora per tirare. Una cinquantina di secondi il vantaggio di Pellizzari nei confronti di questa prima parte del gruppo della maglia rosa ce la fa ancora
./Videos/Video90.mp4  -1.077750           1.253578        0.516034                                                                                                                                                                                                                                                                                                                                                                                                                                                                                               silence/noise
./Videos/Video91.mp4  -0.311883           1.571705        0.189604                                                                                                                                                                                                          Io lo so, io lo so che un po' di bene già mi vuoi Dimmi perché, ma perché, ma perché negli occhi miei non guardi mai Eppure tanto io lo so, io lo so che un po' di bene già mi vuoi Dottore? Sì Posso chiedere a lei se avete questo farmaco? Questo farmaco, sì Bustini o pillole? Pillole meglio
./Videos/Video92.mp4  -0.256993           1.099715        0.037167                                                                                                                                                                                                                                                                                                                            Buongiorno! Buongiorno! Cosa desiderate? Vorremmo un chilo di farina, una scatola di pomodori e due mozzarelle. Anche un po' di lievito. E una bottiglia da mezzo litro di olio.
./Videos/Video93.mp4  -0.526574           0.846154        0.679450                                                                                                                                                                                                                                                                                                                                                                                                                                                                                               silence/noise
./Videos/Video94.mp4  -0.342071           1.563530        0.346038  se vi mettete dove state, questa ha una buona continuità di legno, manomale che il sale si restringe e se è vero questo dal punto di vista principale dei vasi comunicanti tanto più si sfila, tanto più si ferma. Questa pianta l'abbiamo, vi avevo detto, tutti fermi adesso. Non lo so, se con un altro linguaggio, non vorrei usare il linguaggio tecnico, voglio usare quello immediato cioè nel senso che questa è una pianta a cui abbiamo ridato una continuità di legno e una continuità di sale.
./Videos/Video95.mp4  -0.463210           0.846154        0.625415                                                                                                                                                                                                                                                                                                                                                                                                                                                                                               silence/noise
./Videos/Video96.mp4  -1.199577           0.428571        0.346660                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                       music
./Videos/Video97.mp4  -0.258670          26.599547        0.894513                                                                                                                                                                                                                                                                                                                                                                                                                                                                                            dialogue unknown
./Videos/Video98.mp4  -0.201822           7.644556        0.412415                                                                                                                                                                                                                                                                                                                                                                                                                                                                                            dialogue unknown
./Videos/Video99.mp4  -0.452962           1.960526        0.867572                                                                                                                                                                                                     Il soggetto di questa esperienza è stato un esperto di ipnosi non verbali Il soggetto di questa esperienza è stato un esperto di ipnosi non verbali Il soggetto di questa esperienza è stato un esperto di ipnosi non verbali Il soggetto di questa esperienza è stato un esperto di ipnosi non verbali
./Videos/Video100.mp4 -0.364200           0.846154        0.976795                                                                                                                                                                                                                                                                                                                                                                                                                                                                                               silence/noise


                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                             type
./Videos/Video1.mp4                                                                                                                                                                                                                                                                                                                                                                                                                                                                                              dialogue unknown
./Videos/Video2.mp4                                                                                                                                                                                                                                                                                                                                                           fare l'aspirapolvere avete una fetta biscottata bene spaccatela intera la spaccate intera in pochi secondi scomparirà tutto via con l'aspirapolvere
./Videos/Video3.mp4                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                 silence/noise
./Videos/Video4.mp4                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                         music
./Videos/Video5.mp4                                                                                                                                                                                                           dove metti i piedi di gondoliere tutto l'alice, austriaco o italiano, solido ma leggero, mentre quello che manca qua è ancora più leggero dell'alice. Tutte le cornici sono innose, dopo circa 15-16 anni si cambia il fondo a pescaggio, e durante altri 15-20 anni la vita media non ha scappato.
./Videos/Video6.mp4                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                 silence/noise
./Videos/Video7.mp4                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                 silence/noise
./Videos/Video8.mp4                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                 silence/noise
./Videos/Video9.mp4                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                 silence/noise
./Videos/Video10.mp4                                                                                                                                                                                                             Fatemi lanciarlo giù in giardino. Dov'è? Dov'è? E' qua! Chiamatelo! Dove dove dove? E' qua! Guarda che tu voli giù! No sta dormendo! Vanessa non ti mangia! Non ti mangia! Non ti fa niente! Dove scappi? Prendi un pezzo di carta igienica Ma tu non sei normale! Anibaletto! Guarda che bello!
./Videos/Video11.mp4                                                                                                                                                                                                                                                                                                                                                                                                                                                                                             dialogue unknown
./Videos/Video12.mp4                                                                                                                                                                                                                                                                  mi ha catturato mi dà gli ordini due passi indietro due mani perché io sono armato il cane va a terra senza passare tra me e il cane passa dietro mi fa la perquisizione per vedere se ho rubato qualcosa vede che ho l'arma e me la toglie
./Videos/Video13.mp4                                                                                                                                                                                                                                                                                                                                                                                                                                                                                             dialogue unknown
./Videos/Video14.mp4                                                                                                                                                                                                                                                                                                                                                                                                                                                                                             dialogue unknown
./Videos/Video15.mp4                                                                                                                                                                                                                                                                                                                                                                                                                                                                                      ... ... ... ... ... ...
./Videos/Video16.mp4                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                silence/noise
./Videos/Video17.mp4                                                                                                                                                                                                                                                                                                                                                                                                                                                                                             dialogue unknown
./Videos/Video18.mp4                                                                                                                                                                                                                                                                                                                                                                                                                                                                                           Angela e Vincenzo 
./Videos/Video19.mp4                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                silence/noise
./Videos/Video20.mp4                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                silence/noise
./Videos/Video21.mp4                                                                                                                                                                                                                                                                                                                                                                                                                                                                                             dialogue unknown
./Videos/Video22.mp4                                                                                                                                                                                                                                                                                                                                                                                                                                                                                             dialogue unknown
./Videos/Video23.mp4                                                                                                                                                                                                                                                                                                                                                                                                                                                                                             dialogue unknown
./Videos/Video24.mp4                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                        music
./Videos/Video25.mp4                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                silence/noise
./Videos/Video26.mp4                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                        music
./Videos/Video27.mp4                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                silence/noise
./Videos/Video28.mp4                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                silence/noise
./Videos/Video29.mp4                                                                                                                                                                                                                                                                                                                                                                                                                                                                                             dialogue unknown
./Videos/Video30.mp4                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                silence/noise
./Videos/Video31.mp4                                                                                                                                                                                                                                                                                                                                                                                                                                                                                             dialogue unknown
./Videos/Video32.mp4                                                                                                                                                                                                                                                                                                              adesso mangiamo? ma cosa fai parecchi? ma dovresti anche sciacquare poi, ecco vediamo un po' questa bambina che brava ma sei bravissima allora mi aiuti tu sempre ok grazie guardate come si fa
./Videos/Video33.mp4                                                                                                                perchè guarda questa secondo me Stefano è la parte della frenata perchè sono caduti davanti però ok, io tocco i freni poi è vero che al giorno d'oggi non è più come una volta, poi adesso magari potranno iniziare le polemiche chiaramente ora con i freni a disco che frenano pinzano molto più con molta più forza nel momento in cui il corridore si spaventa frena con il freno a disco
./Videos/Video34.mp4                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                silence/noise
./Videos/Video35.mp4                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                        music
./Videos/Video36.mp4                                                                                                                                                                                                                                                                                                                                       auguri a te tanti auguri mannaggia la m***a sono cascato testa di c***o strutti sono cascato auguri Tomas mannaggia la m***a testa di c***o strutti auguri auguri a te
./Videos/Video37.mp4                                                                                                                                                                              Madonna, sei fatta male ancora. Vanessa che volo hai fatto? Ragazze, se non entriamo qua ci distruggiamo, lei si è tagliata una mano. Allora, sentite che sono al deletto. Dai, poi andiamo. Bro, dov'è il mio libro? Libro? Libro? È quella di qui. No, lo sapevo. Ma scusa, ma Anastasia. La gamba. No, no, no. Ma Anastasia.
./Videos/Video38.mp4                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                silence/noise
./Videos/Video39.mp4                                                                                                                                                                                                                                                                                                                                                                                          con il ragazzo del centro c'è troppi dei bottigiani di strada Parto via dei compagni guai S'occupietto di se stessa
./Videos/Video40.mp4                                                                                                                       Si vergogna perchè non è toccato Ma che cazzo te ne butti, sei in aperitivo, ma si Vai, fatti tu risare Com'è il nostro aperitivo? Anche lei si vergogna Dai Fede Questo aperitivo è molto easy Prendi buoni e benzina Buoni e benzina Ci vuole i voglio e benzina Aspetta, ce ne anch'io due Questa è la foto per bere Questo è l'aperitivo C'è gente che balla, gente che si diverte
./Videos/Video41.mp4                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                silence/noise
./Videos/Video42.mp4                                                                                                                                                                                                                                                                                                                                                                                                                                                                                             dialogue unknown
./Videos/Video43.mp4                                                                                                                                                                                                                                                                                    ...gran loggia da istituto nazionale previdenza sociale e istituto neutralizzazione parassiti sociali e preventivando un risparmio di almeno 2 miliardi per ogni gruppo di 30 organizzava viaggi agevolati senza ritorno.
./Videos/Video44.mp4                                                                                                                                                                                                                                                                                                                                                                                                                                                                                             dialogue unknown
./Videos/Video45.mp4                                                                                                                                                                                                                                                                                                                     Gianmarco continuava a dormire come un grandissimo, non aveva ascolto i corsi e in più la sera precedente aveva visto un film alla televisione, perciò tanto come lui non aveva il film.
./Videos/Video46.mp4                                                                                                        Con questo bel muoio, potrei, potrei imparare io cappuccetto rosso. La aiuterò a tornare a casa della nonna. E mentre lei è lì tranquilla, che si fida di me, io mi amano. Me l'ha fatto! Ciao, bella bambina, buonasera! Ma te sei un lupo vero, vero, vero? Sì, mi chiamano giusto il lupo cattivo del bosco. Ma te sei anche un lupo cattivo, cattivo? Sì, cattivo, molto cattivo. E ora ti bello!
./Videos/Video47.mp4                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                silence/noise
./Videos/Video48.mp4                                                                                                                                                                                                               Un giro sprint ed è Duccio Marsini in testa, seguito da Giacomo Mazza, poi Piercigli, poi Mallorca, ma sono lì tutti vicini, vicinissimi, nelle parte opposta con l'arrivo del tracciato, con all'esterno Piercigli che attacca, Marsini all'interno. Aiuto! Aiuto! Marsini! Marsini! Marsini!
./Videos/Video49.mp4                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                        music
./Videos/Video50.mp4                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                silence/noise
./Videos/Video51.mp4                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                silence/noise
./Videos/Video52.mp4                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                silence/noise
./Videos/Video53.mp4                                                                                                                                                                                                                                                                                                                                                                                                                                                                                             dialogue unknown
./Videos/Video54.mp4                                                                                                                                                                                                                                                                                                                                                                                                                                                                                             dialogue unknown
./Videos/Video55.mp4                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                silence/noise
./Videos/Video56.mp4                                                                                                                                                                                                                                                                                                                                                                                                                                                                                             dialogue unknown
./Videos/Video57.mp4                                                                                                                                                                                                                                                                                                                                                                                                                                                                                ...50, 100, 200 euro. Grazie.
./Videos/Video58.mp4                                                                                                                                                                                                                                                                                                                                                                                                                                                                                             dialogue unknown
./Videos/Video59.mp4                                                                                                                                                                                                                                                                                                                                                                                                                                                                                             dialogue unknown
./Videos/Video60.mp4                                                                                                                                                                                                                                                                                                                                                                                                                                                                                             dialogue unknown
./Videos/Video61.mp4                                                                                                                                                                                                                                                                                                                                                                                                                                                                                             Siamo a Florence
./Videos/Video62.mp4                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                        music
./Videos/Video63.mp4                                                                                                                                                                                                                                                                                                                                                                                                                                                                                             dialogue unknown
./Videos/Video64.mp4                                                                                                                                                                                                                                                                                                                                                                              Numero 10 andiamo a Sicilia, da Sicilia il colombo dei giugnelli sbarotti, molto eleganti, con una fascia intorno alla caviglia
